"","compound","field","treatment","date","month","mean_conc"
"174","nh3","4","0",2018-05-22,"May",0.79
"175","nh3","4","0",2018-06-05,"Jun",0.66
"176","nh3","4","0",2018-06-19,"Jun",0.62
"177","nh3","4","25",2018-03-13,"Mar",0.03
"178","nh3","4","25",2018-03-27,"Mar",0.86
"179","nh3","4","25",2018-04-10,"Apr",0.22
"180","nh3","4","25",2018-04-24,"Apr",0.19
"181","nh3","4","25",2018-05-08,"May",1.32
"182","nh3","4","25",2018-05-22,"May",0.75
"183","nh3","4","25",2018-06-05,"Jun",0.57
"184","nh3","4","25",2018-06-19,"Jun",0.61
"185","nh3","4","50",2018-03-13,"Mar",NA
"186","nh3","4","50",2018-03-27,"Mar",NA
"187","nh3","4","50",2018-04-10,"Apr",0.21
"188","nh3","4","50",2018-04-24,"Apr",NA
"189","nh3","4","50",2018-05-08,"May",0.99
"190","nh3","4","50",2018-05-22,"May",0.72
"191","nh3","4","50",2018-06-05,"Jun",0.7
"192","nh3","4","50",2018-06-19,"Jun",0.94
"193","nh3","4","75",2018-03-13,"Mar",0.05
"194","nh3","4","75",2018-03-27,"Mar",0.76
"195","nh3","4","75",2018-04-10,"Apr",0.19
"196","nh3","4","75",2018-04-24,"Apr",0.18
"197","nh3","4","75",2018-05-08,"May",1.8
"198","nh3","4","75",2018-05-22,"May",0.67
"199","nh3","4","75",2018-06-05,"Jun",0.51
"200","nh3","4","75",2018-06-19,"Jun",0.47
"201","nh3","4","100",2018-03-13,"Mar",0.04
"202","nh3","4","100",2018-03-27,"Mar",0.99
"203","nh3","4","100",2018-04-10,"Apr",0.19
"204","nh3","4","100",2018-04-24,"Apr",0.14
"205","nh3","4","100",2018-05-08,"May",2.37
"206","nh3","4","100",2018-05-22,"May",0.62
"207","nh3","4","100",2018-06-05,"Jun",0.72
"208","nh3","4","100",2018-06-19,"Jun",0.6
"209","nh3","4","C",2018-03-13,"Mar",0.0533333333333333
"210","nh3","4","C",2018-03-27,"Mar",1.61333333333333
"211","nh3","4","C",2018-04-10,"Apr",0.243333333333333
"212","nh3","4","C",2018-04-24,"Apr",0.1
"213","nh3","4","C",2018-05-08,"May",1.0625
"214","nh3","4","C",2018-05-22,"May",0.556666666666667
"215","nh3","4","C",2018-06-05,"Jun",0.963333333333333
"216","nh3","4","C",2018-06-19,"Jun",0.426666666666667
"217","nh3","4","P",2018-03-13,"Mar",0.165
"218","nh3","4","P",2018-03-27,"Mar",2.07
"219","nh3","4","P",2018-04-10,"Apr",0.1725
"220","nh3","4","P",2018-04-24,"Apr",0.1575
"221","nh3","4","P",2018-05-08,"May",1.785
"222","nh3","4","P",2018-05-22,"May",0.87
"223","nh3","4","P",2018-06-05,"Jun",0.6
"224","nh3","4","P",2018-06-19,"Jun",0.483333333333333
"225","no3","1","0",2018-03-13,"Mar",NA
"226","no3","1","0",2018-03-27,"Mar",0.12
"227","no3","1","0",2018-04-10,"Apr",NA
"228","no3","1","0",2018-04-24,"Apr",0
"229","no3","1","0",2018-05-08,"May",0
"230","no3","1","0",2018-05-22,"May",0
"231","no3","1","0",2018-06-05,"Jun",NA
"232","no3","1","0",2018-06-19,"Jun",NA
"233","no3","1","25",2018-03-13,"Mar",0.53
"234","no3","1","25",2018-03-27,"Mar",NA
"235","no3","1","25",2018-04-10,"Apr",0.09
"236","no3","1","25",2018-04-24,"Apr",NA
"237","no3","1","25",2018-05-08,"May",NA
"238","no3","1","25",2018-05-22,"May",0.13
"239","no3","1","25",2018-06-05,"Jun",NA
"240","no3","1","25",2018-06-19,"Jun",NA
"241","no3","1","50",2018-03-13,"Mar",0.15
"242","no3","1","50",2018-03-27,"Mar",NA
"243","no3","1","50",2018-04-10,"Apr",0
"244","no3","1","50",2018-04-24,"Apr",0.01
"245","no3","1","50",2018-05-08,"May",0
"246","no3","1","50",2018-05-22,"May",0
"247","no3","1","50",2018-06-05,"Jun",NA
"248","no3","1","50",2018-06-19,"Jun",NA
"249","no3","1","75",2018-03-13,"Mar",0.27
"250","no3","1","75",2018-03-27,"Mar",0.11
"251","no3","1","75",2018-04-10,"Apr",0
"252","no3","1","75",2018-04-24,"Apr",0.01
"253","no3","1","75",2018-05-08,"May",0
"254","no3","1","75",2018-05-22,"May",0
"255","no3","1","75",2018-06-05,"Jun",0
"256","no3","1","75",2018-06-19,"Jun",0.04
"257","no3","1","100",2018-03-13,"Mar",0.15
