                         CRVO - ET SUMMARY - 2017 
                                                                                                                             
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH 
 03/11 0.05  --   --  0.01 0.02  --  0.02 0.01  --   --   --   --   --   --   --   --  0.01  --   --   --  0.01  --   --   -- 
 03/12 0.08  --   --  0.01 0.03  --  0.03 0.02  --   --   --   --   --   --   --   --  0.02  --   --   --  0.02  --   --   -- 
 03/13 0.03  --   --  0.01 0.01  --  0.01 0.01  --   --   --   --   --   --   --   --  0.01  --   --   --  0.01  --   --   -- 
 03/14 0.02  --   --  0.00 0.01  --  0.01 0.01  --   --   --   --   --   --   --   --  0.00  --   --   --  0.00  --   --   -- 
 03/15 0.02 0.00 0.00 0.01 0.01  --  0.01 0.01  --   --   --   --   --   --   --   --  0.00  --   --   --  0.00  --   --   -- 
 03/16 0.09 0.01 0.01 0.03 0.03  --  0.05 0.03  --   --   --   --   --   --   --   --  0.02  --   --   --  0.02  --   --   -- 
 03/17 0.03 0.01 0.01 0.01 0.01  --  0.02 0.01  --   --   --   --   --   --   --   --  0.01  --   --   --  0.01  --   --   -- 
 03/18 0.06 0.01 0.01 0.03 0.02  --  0.03 0.02  --   --   --   --   --   --   --   --  0.01  --   --   --  0.02  --   --   -- 
 03/19 0.14 0.03 0.03 0.07 0.06  --  0.08 0.05  --   --   --   --   --   --   --   --  0.03  --   --   --  0.05  --   --   -- 
 03/20 0.07 0.01 0.01 0.04 0.03  --  0.04 0.03  --   --   --   --   --   --   --   --  0.02  --   --   --  0.02  --   --   -- 
 03/21 0.10 0.02 0.02 0.05 0.05  --  0.06 0.05  --   --   --   --   --   --   --   --  0.02  --   --   --  0.04  --   --   -- 
 03/22 0.08 0.02 0.02 0.05 0.04  --  0.05 0.04  --   --   --   --   --   --   --   --  0.02  --   --   --  0.03  --   --   -- 
 03/23 0.07 0.02 0.02 0.04 0.04  --  0.05 0.04  --   --   --   --   --   --   --   --  0.02  --   --   --  0.03  --   --   -- 
 03/24 0.07 0.02 0.02 0.04 0.04  --  0.05 0.04  --   --   --   --   --   --   --   --  0.02  --   --   --  0.03  --   --   -- 
 03/25 0.08 0.03 0.03 0.05 0.05 0.01 0.06 0.05 0.01  --   --   --   --   --   --   --  0.02  --   --   --  0.04  --   --   -- 
 03/26 0.04 0.02 0.02 0.03 0.02 0.01 0.03 0.03 0.01  --   --   --   --   --   --   --  0.01  --   --   --  0.02  --   --   -- 
 03/27 0.08 0.03 0.03 0.06 0.05 0.02 0.06 0.05 0.01  --   --   --   --   --   --   --  0.03  --   --   --  0.04  --   --   -- 
 03/28 0.14 0.06 0.06 0.10 0.09 0.03 0.11 0.10 0.02  --   --   --   --   --   --   --  0.05  --   --   --  0.08  --   --   -- 
 03/29 0.06 0.03 0.03 0.04 0.04 0.01 0.05 0.04 0.01  --   --   --   --   --   --   --  0.02  --   --   --  0.03  --   --   -- 
 03/30 0.09 0.05 0.05 0.07 0.06 0.02 0.07 0.07 0.01  --   --   --   --   --   --   --  0.03  --   --   --  0.05  --   --   -- 
 03/31 0.09 0.05 0.05 0.07 0.07 0.02 0.07 0.07 0.02  --   --   --   --   --   --   --  0.04  --   --   --  0.06  --   --   -- 
 04/01 0.06 0.04 0.04 0.05 0.05 0.02 0.05 0.05 0.01  --   --   --   --   --   --  0.01 0.02  --   --   --  0.04 0.01  --   -- 
 04/02 0.10 0.06 0.06 0.08 0.08 0.03 0.09 0.08 0.02  --   --   --   --   --   --  0.02 0.04  --   --   --  0.07 0.02  --   -- 
 04/03 0.11 0.07 0.07 0.09 0.09 0.03 0.10 0.09 0.02  --   --   --   --   --   --  0.02 0.05  --   --   --  0.08 0.02  --   -- 
 04/04 0.06 0.04 0.04 0.05 0.05 0.02 0.05 0.05 0.01  --   --   --   --   --   --  0.01 0.03  --   --   --  0.04 0.01  --   -- 
 04/05 0.08 0.05 0.05 0.06 0.07 0.03 0.07 0.07 0.02 0.02  --   --   --   --   --  0.01 0.04  --   --   --  0.06 0.01  --   -- 
 04/06 0.11 0.08 0.08 0.09 0.09 0.04 0.10 0.10 0.02 0.03  --   --   --   --   --  0.02 0.06  --   --   --  0.09 0.02  --   -- 
 04/07 0.09 0.06 0.06 0.07 0.08 0.03 0.08 0.08 0.02 0.03  --   --   --   --   --  0.02 0.05  --   --   --  0.07 0.02  --   -- 
 04/08 0.11 0.08 0.08 0.09 0.10 0.04 0.10 0.10 0.03 0.03  --   --   --   --   --  0.02 0.06  --   --   --  0.09 0.02  --   -- 
 04/09 0.10 0.07 0.07 0.08 0.09 0.04 0.10 0.09 0.03 0.03  --   --   --   --   --  0.02 0.06  --   --   --  0.09 0.02  --   -- 
 04/10 0.13 0.10 0.10 0.10 0.12 0.06 0.12 0.12 0.03 0.04  --   --  0.04  --   --  0.02 0.08  --   --   --  0.12 0.02 0.03  -- 
 04/11 0.07 0.05 0.05 0.06 0.06 0.03 0.07 0.07 0.02 0.02  --   --  0.02  --   --  0.01 0.04  --   --   --  0.06 0.01 0.01  -- 
 04/12 0.09 0.07 0.07 0.07 0.08 0.05 0.09 0.09 0.03 0.03  --   --  0.03  --   --  0.02 0.06  --   --   --  0.08 0.02 0.02  -- 
 04/13 0.12 0.10 0.10 0.10 0.11 0.07 0.12 0.11 0.04 0.04  --   --  0.04  --   --  0.03 0.08  --   --   --  0.11 0.03 0.03  -- 
 04/14 0.10 0.08 0.08 0.08 0.09 0.06 0.10 0.10 0.03 0.03  --   --  0.03  --   --  0.02 0.07  --   --   --  0.09 0.02 0.02  -- 
 04/15 0.14 0.12 0.12 0.11 0.13 0.09 0.14 0.14 0.05 0.04  --   --  0.04  --   --  0.03 0.10  --   --   --  0.13 0.03 0.03  -- 
 04/16 0.12 0.10 0.10 0.10 0.11 0.08 0.12 0.12 0.04 0.04  --   --  0.04  --   --  0.03 0.09  --   --   --  0.11 0.03 0.03  -- 
