                         CRVO - ET SUMMARY - 2019 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 06/24 0.28 0.28 0.24 0.22 0.08 0.27 0.18 0.27 0.25 0.26 0.26 0.25 0.26 0.23 0.18 0.18 0.27 0.13 0.22 0.28 0.25 0.27 0.05 0.18 0.28 0.26 0.25 0.31
 06/25 0.22 0.22 0.19 0.18 0.06 0.21 0.14 0.21 0.20 0.20 0.20 0.20 0.21 0.18 0.15 0.14 0.22 0.10 0.17 0.22 0.19 0.21 0.00 0.14 0.22 0.21 0.20 0.24
 06/26 0.22 0.22 0.19 0.18 0.06 0.21 0.13 0.20 0.20 0.20 0.20 0.20 0.21 0.18 0.15 0.14 0.22 0.10 0.17 0.22 0.19 0.21  --  0.14 0.22 0.21 0.20 0.24
 06/27 0.10 0.10 0.09 0.08 0.03 0.10 0.06 0.09 0.09 0.09 0.09 0.09 0.10 0.08 0.07 0.07 0.10 0.05 0.08 0.10 0.09 0.10  --  0.07 0.10 0.09 0.09 0.11
 06/28 0.19 0.19 0.16 0.15 0.05 0.18 0.10 0.16 0.17 0.18 0.18 0.17 0.18 0.16 0.14 0.12 0.19 0.09 0.15 0.19 0.16 0.18  --  0.12 0.19 0.18 0.17 0.21
 06/29 0.25 0.25 0.21 0.20 0.07 0.24 0.13 0.20 0.22 0.23 0.23 0.23 0.24 0.22 0.18 0.16 0.25 0.12 0.20 0.25 0.21 0.24  --  0.16 0.25 0.23 0.22 0.28
 06/30 0.25 0.25 0.21 0.20 0.07 0.24 0.13 0.19 0.22 0.23 0.23 0.23 0.25 0.22 0.18 0.16 0.25 0.12 0.20 0.25 0.21 0.24  --  0.16 0.25 0.23 0.22 0.28
 07/01 0.19 0.19 0.16 0.15 0.05 0.18 0.09 0.14 0.17 0.18 0.18 0.18 0.19 0.17 0.14 0.12 0.19 0.09 0.15 0.19 0.16 0.18  --  0.12 0.19 0.18 0.17 0.21
 07/02 0.12 0.12 0.10 0.10 0.03 0.11 0.05 0.08 0.10 0.11 0.11 0.11 0.12 0.11 0.09 0.08 0.12 0.06 0.09 0.12 0.10 0.11  --  0.08 0.12 0.11 0.11 0.13
 07/03 0.21 0.21 0.18 0.17 0.05 0.20 0.09 0.14 0.18 0.19 0.20 0.20 0.21 0.19 0.16 0.14 0.21 0.10 0.17 0.21 0.17 0.20  --  0.14 0.21 0.19 0.19 0.23
 07/04 0.25 0.25 0.21 0.20 0.06 0.24 0.10 0.16 0.21 0.23 0.23 0.23 0.25 0.23 0.20 0.16 0.25 0.12 0.20 0.25 0.20 0.24  --  0.16 0.25 0.23 0.22 0.28
 07/05 0.20 0.20 0.17 0.16 0.00 0.19 0.08 0.12 0.17 0.18 0.19 0.19 0.20 0.19 0.16 0.13 0.20 0.10 0.16 0.20 0.16 0.19  --  0.13 0.20 0.18 0.18 0.22
 07/06 0.14 0.14 0.12 0.11  --  0.13 0.05 0.08 0.12 0.13 0.13 0.13 0.14 0.13 0.11 0.09 0.14 0.07 0.11 0.14 0.11 0.13  --  0.09 0.14 0.13 0.12 0.15
 07/07 0.24 0.24 0.20 0.19  --  0.23 0.08 0.13 0.20 0.22 0.22 0.22 0.24 0.23 0.20 0.16 0.24 0.12 0.19 0.24 0.18 0.23  --  0.16 0.24 0.22 0.21 0.26
 07/08 0.25 0.25 0.21 0.20  --  0.24 0.08 0.12 0.21 0.23 0.23 0.23 0.25 0.24 0.21 0.16 0.25 0.12 0.20 0.25 0.19 0.24  --  0.16 0.25 0.23 0.22 0.28
 07/09 0.11 0.11 0.09 0.09  --  0.10 0.03 0.05 0.09 0.10 0.10 0.10 0.11 0.11 0.09 0.07 0.11 0.06 0.09 0.11 0.08 0.10  --  0.07 0.11 0.10 0.10 0.12
 07/10 0.11 0.11 0.09 0.09  --  0.10 0.00 0.05 0.09 0.10 0.10 0.10 0.11 0.11 0.10 0.07 0.11 0.06 0.09 0.11 0.08 0.10  --  0.07 0.11 0.10 0.10 0.12
 07/11 0.23 0.23 0.20 0.18  --  0.22  --  0.09 0.19 0.20 0.21 0.21 0.23 0.23 0.20 0.15 0.23 0.12 0.19 0.23 0.17 0.22  --  0.15 0.23 0.21 0.20 0.25
 07/12 0.27 0.27 0.23 0.22  --  0.26  --  0.10 0.22 0.24 0.25 0.25 0.27 0.27 0.24 0.18 0.27 0.14 0.22 0.27 0.19 0.26  --  0.18 0.27 0.24 0.24 0.30
 07/13 0.22 0.22 0.19 0.18  --  0.21  --  0.07 0.18 0.19 0.20 0.20 0.22 0.22 0.20 0.14 0.22 0.11 0.18 0.22 0.15 0.21  --  0.14 0.22 0.20 0.19 0.24
 07/14 0.28 0.28 0.24 0.22  --  0.26  --  0.09 0.23 0.24 0.26 0.26 0.28 0.28 0.26 0.18 0.28 0.14 0.23 0.28 0.19 0.27  --  0.18 0.28 0.25 0.24 0.31
 07/15 0.15 0.15 0.13 0.12  --  0.14  --  0.00 0.00 0.13 0.14 0.14 0.15 0.15 0.14 0.10 0.15 0.08 0.12 0.15 0.10 0.14  --  0.10 0.15 0.13 0.13 0.17
 07/16 0.21 0.21 0.18 0.17  --  0.20  --   --   --  0.18 0.19 0.20 0.21 0.21 0.20 0.14 0.21 0.11 0.17 0.21 0.14 0.20  --  0.14 0.21 0.19 0.18 0.23
 07/17 0.18 0.18 0.15 0.14  --  0.17  --   --   --  0.15 0.16 0.17 0.18 0.18 0.17 0.12 0.18 0.09 0.15 0.18 0.12 0.17  --  0.12 0.18 0.16 0.16 0.20
 07/18 0.25 0.25 0.21 0.20  --  0.24  --   --   --  0.21 0.22 0.23 0.25 0.25 0.24 0.16 0.25 0.13 0.20 0.25 0.16 0.24  --  0.16 0.25 0.22 0.22 0.28
 07/19 0.31 0.31 0.26 0.25  --  0.29  --   --   --  0.26 0.27 0.29 0.31 0.31 0.31 0.20 0.31 0.16 0.25 0.31 0.19 0.29  --  0.20 0.31 0.27 0.27 0.34
 07/20 0.34 0.34 0.29 0.27  --  0.32  --   --   --  0.28 0.30 0.31 0.34 0.34 0.34 0.22 0.34 0.18 0.28 0.34 0.21 0.00  --  0.22 0.33 0.30 0.29 0.37
 07/21 0.26 0.26 0.22 0.21  --  0.24  --   --   --  0.21 0.23 0.24 0.26 0.26 0.26 0.17 0.26 0.14 0.21 0.26 0.16  --   --  0.17 0.26 0.23 0.22 0.29
 07/22 0.26 0.26 0.22 0.21  --  0.24  --   --   --  0.21 0.22 0.24 0.26 0.26 0.26 0.17 0.26 0.14 0.22 0.26 0.15  --   --  0.17 0.25 0.23 0.22 0.29
 07/23 0.21 0.21 0.18 0.17  --  0.20  --   --   --  0.17 0.18 0.19 0.21 0.21 0.21 0.14 0.21 0.11 0.17 0.21 0.12  --   --  0.14 0.20 0.18 0.18 0.23
 07/24 0.30 0.30 0.26 0.24  --  0.28  --   --   --  0.24 0.25 0.27 0.30 0.30 0.30 0.20 0.30 0.16 0.25 0.30 0.17  --   --  0.20 0.29 0.26 0.26 0.33
 07/25 0.41 0.41 0.35 0.33  --  0.38  --   --   --  0.33 0.34 0.37 0.40 0.41 0.41 0.27 0.41 0.22 0.34 0.41 0.22  --   --  0.27 0.40 0.36 0.00 0.45
 07/26 0.31 0.31 0.26 0.25  --  0.29  --   --   --  0.25 0.26 0.28 0.30 0.31 0.31 0.20 0.31 0.17 0.26 0.31 0.16  --   --  0.20 0.30 0.27  --  0.34
 07/27 0.22 0.22 0.19 0.18  --  0.21  --   --   --  0.17 0.18 0.19 0.21 0.22 0.22 0.14 0.22 0.12 0.18 0.22 0.11  --   --  0.14 0.21 0.19  --  0.24
 07/28 0.35 0.35 0.30 0.28  --  0.33  --   --   --  0.28 0.29 0.31 0.34 0.35 0.35 0.23 0.35 0.19 0.29 0.35 0.18  --   --  0.23 0.33 0.30  --  0.39
 07/29 0.25 0.25 0.21 0.20  --  0.23  --   --   --  0.19 0.20 0.22 0.24 0.25 0.25 0.16 0.25 0.14 0.21 0.25 0.12  --   --  0.16 0.24 0.21  --  0.28
 07/30 0.19 0.19 0.16 0.15  --  0.18  --   --   --  0.15 0.15 0.16 0.18 0.19 0.19 0.12 0.19 0.10 0.16 0.19 0.09  --   --  0.12 0.18 0.16  --  0.21
 07/31 0.25 0.25 0.21 0.20  --  0.23  --   --   --  0.19 0.20 0.21 0.24 0.25 0.25 0.16 0.25 0.14 0.21 0.25 0.11  --   --  0.16 0.24 0.21  --  0.28
 08/01 0.29 0.29 0.25 0.23  --  0.27  --   --   --  0.22 0.23 0.24 0.28 0.29 0.29 0.19 0.29 0.16 0.25 0.29 0.13  --   --  0.19 0.27 0.00  --  0.32
 08/02 0.19 0.19 0.16 0.15  --  0.18  --   --   --  0.14 0.15 0.16 0.18 0.19 0.19 0.12 0.19 0.10 0.16 0.19 0.08  --   --  0.12 0.18  --   --  0.21
 08/03 0.36 0.36 0.31 0.29  --  0.33  --   --   --  0.26 0.28 0.30 0.34 0.35 0.36 0.23 0.36 0.20 0.31 0.36 0.15  --   --  0.23 0.33  --   --  0.40
 08/04 0.34 0.34 0.29 0.27  --  0.32  --   --   --  0.24 0.27 0.28 0.32 0.33 0.34 0.22 0.34 0.19 0.29 0.34 0.13  --   --  0.22 0.31  --   --  0.37
 08/05 0.27 0.27 0.23 0.22  --  0.25  --   --   --  0.19 0.21 0.22 0.25 0.26 0.27 0.18 0.27 0.15 0.23 0.27 0.10  --   --  0.18 0.25  --   --  0.30
 08/06 0.21 0.21 0.18 0.17  --  0.19  --   --   --  0.14 0.16 0.17 0.19 0.20 0.21 0.14 0.21 0.12 0.18 0.21 0.08  --   --  0.14 0.19  --   --  0.23
 08/07 0.15 0.15 0.13 0.12  --  0.14  --   --   --  0.10 0.11 0.12 0.14 0.14 0.15 0.10 0.15 0.08 0.13 0.15 0.05  --   --  0.10 0.14  --   --  0.17
 08/08 0.10 0.10 0.09 0.08  --  0.09  --   --   --  0.07 0.07 0.08 0.09 0.10 0.10 0.07 0.10 0.06 0.09 0.10 0.03  --   --  0.07 0.09  --   --  0.11
 08/09 0.18 0.18 0.15 0.14  --  0.17  --   --   --  0.11 0.13 0.14 0.16 0.17 0.18 0.12 0.18 0.10 0.16 0.18 0.06  --   --  0.12 0.16  --   --  0.20
 08/10 0.13 0.13 0.11 0.10  --  0.12  --   --   --  0.08 0.09 0.10 0.12 0.12 0.13 0.08 0.13 0.07 0.11 0.13 0.04  --   --  0.00 0.12  --   --  0.14
 08/11 0.18 0.18 0.15 0.14  --  0.17  --   --   --  0.11 0.13 0.14 0.16 0.17 0.18 0.12 0.18 0.10 0.16 0.18 0.05  --   --   --  0.16  --   --  0.20
 08/12 0.24 0.24 0.20 0.19  --  0.22  --   --   --  0.14 0.16 0.18 0.22 0.23 0.23 0.16 0.24 0.14 0.21 0.24 0.06  --   --   --  0.21  --   --  0.26
 08/13 0.28 0.28 0.24 0.22  --  0.26  --   --   --  0.15 0.19 0.21 0.25 0.26 0.27 0.18 0.28 0.16 0.24 0.28 0.06  --   --   --  0.24  --   --  0.31
 08/14 0.25 0.25 0.21 0.20  --  0.23  --   --   --  0.13 0.16 0.19 0.22 0.23 0.24 0.16 0.25 0.14 0.22 0.25 0.05  --   --   --  0.22  --   --  0.28
 08/15 0.26 0.26 0.22 0.21  --  0.24  --   --   --  0.00 0.16 0.19 0.23 0.24 0.25 0.17 0.26 0.15 0.23 0.26 0.05  --   --   --  0.22  --   --  0.29
 08/16 0.25 0.25 0.21 0.20  --  0.23  --   --   --   --  0.15 0.18 0.22 0.23 0.24 0.16 0.25 0.14 0.22 0.25 0.04  --   --   --  0.22  --   --  0.28
 08/17 0.22 0.22 0.19 0.18  --  0.20  --   --   --   --  0.13 0.15 0.19 0.20 0.21 0.14 0.22 0.13 0.19 0.22 0.03  --   --   --  0.19  --   --  0.24
 08/18 0.26 0.26 0.22 0.21  --  0.24  --   --   --   --  0.14 0.18 0.23 0.24 0.25 0.17 0.26 0.15 0.23 0.26 0.04  --   --   --  0.22  --   --  0.29
 08/19 0.19 0.19 0.16 0.15  --  0.17  --   --   --   --  0.10 0.13 0.16 0.17 0.18 0.12 0.19 0.11 0.17 0.19 0.02  --   --   --  0.16  --   --  0.21
 08/20 0.21 0.21 0.18 0.17  --  0.19  --   --   --   --  0.00 0.13 0.18 0.19 0.20 0.14 0.21 0.12 0.19 0.21 0.00  --   --   --  0.18  --   --  0.23
 08/21 0.06 0.06 0.05 0.05  --  0.05  --   --   --   --   --  0.04 0.05 0.05 0.06 0.04 0.06 0.04 0.05 0.06  --   --   --   --  0.05  --   --  0.07
 08/22 0.22 0.22 0.19 0.18  --  0.20  --   --   --   --   --  0.13 0.19 0.20 0.20 0.14 0.22 0.13 0.20 0.22  --   --   --   --  0.18  --   --  0.24
 08/23 0.25 0.25 0.21 0.20  --  0.23  --   --   --   --   --  0.14 0.21 0.22 0.23 0.16 0.24 0.15 0.22 0.25  --   --   --   --  0.21  --   --  0.28
 08/24 0.22 0.22 0.19 0.18  --  0.20  --   --   --   --   --  0.12 0.18 0.19 0.20 0.14 0.21 0.13 0.20 0.22  --   --   --   --  0.18  --   --  0.24
 08/25 0.29 0.29 0.25 0.23  --  0.26  --   --   --   --   --  0.00 0.24 0.25 0.26 0.19 0.28 0.17 0.26 0.29  --   --   --   --  0.24  --   --  0.32
 08/26 0.38 0.38 0.32 0.30  --  0.35  --   --   --   --   --   --  0.32 0.33 0.34 0.25 0.36 0.23 0.34 0.38  --   --   --   --  0.31  --   --  0.42
 08/27 0.54 0.54 0.46 0.43  --  0.49  --   --   --   --   --   --  0.45 0.47 0.49 0.35 0.50 0.32 0.49 0.54  --   --   --   --  0.43  --   --  0.59
 08/28 0.25 0.25 0.21 0.20  --  0.23  --   --   --   --   --   --  0.20 0.22 0.22 0.16 0.23 0.15 0.23 0.25  --   --   --   --  0.20  --   --  0.27
 08/29 0.21 0.21 0.18 0.17  --  0.19  --   --   --   --   --   --  0.17 0.18 0.19 0.14 0.19 0.13 0.19 0.21  --   --   --   --  0.17  --   --  0.23
 08/30 0.16 0.16 0.14 0.13  --  0.14  --   --   --   --   --   --  0.13 0.14 0.14 0.10 0.14 0.10 0.15 0.16  --   --   --   --  0.13  --   --  0.17
 08/31 0.21 0.21 0.18 0.17  --  0.19  --   --   --   --   --   --  0.17 0.18 0.18 0.14 0.18 0.13 0.19 0.21  --   --   --   --  0.16  --   --  0.23
 09/01 0.21 0.21 0.18 0.17  --  0.19  --   --   --   --   --   --  0.00 0.18 0.18 0.14 0.18 0.13 0.19 0.21  --   --   --   --  0.16  --   --  0.23
 09/02 0.19 0.19 0.16 0.15  --  0.17  --   --   --   --   --   --   --  0.16 0.17 0.12 0.16 0.12 0.17 0.19  --   --   --   --  0.15  --   --  0.21
 09/03 0.20 0.20 0.17 0.16  --  0.18  --   --   --   --   --   --   --  0.17 0.17 0.13 0.16 0.12 0.18 0.20  --   --   --   --  0.15  --   --  0.22
 09/04 0.24 0.24 0.20 0.19  --  0.22  --   --   --   --   --   --   --  0.20 0.21 0.16 0.19 0.15 0.22 0.24  --   --   --   --  0.18  --   --  0.26
 09/05 0.28 0.28 0.24 0.22  --  0.25  --   --   --   --   --   --   --  0.23 0.24 0.18 0.22 0.17 0.26 0.28  --   --   --   --  0.21  --   --  0.30
 09/06 0.20 0.20 0.17 0.16  --  0.18  --   --   --   --   --   --   --  0.16 0.17 0.13 0.15 0.12 0.18 0.20  --   --   --   --  0.15  --   --  0.21
 09/07 0.06 0.06 0.05 0.05  --  0.05  --   --   --   --   --   --   --  0.05 0.05 0.04 0.05 0.04 0.06 0.06  --   --   --   --  0.04  --   --  0.06
 09/08 0.09 0.09 0.08 0.07  --  0.08  --   --   --   --   --   --   --  0.07 0.08 0.06 0.07 0.06 0.08 0.09  --   --   --   --  0.07  --   --  0.10
 09/09 0.07 0.07 0.06 0.06  --  0.06  --   --   --   --   --   --   --  0.06 0.06 0.05 0.05 0.04 0.06 0.07  --   --   --   --  0.05  --   --  0.07
 09/10 0.09 0.09 0.08 0.07  --  0.08  --   --   --   --   --   --   --  0.00 0.07 0.06 0.07 0.06 0.08 0.09  --   --   --   --  0.07  --   --  0.10
 09/11 0.12 0.12 0.10 0.10  --  0.11  --   --   --   --   --   --   --   --  0.10 0.08 0.09 0.08 0.11 0.12  --   --   --   --  0.09  --   --  0.13
 09/12 0.15 0.15 0.13 0.12  --  0.13  --   --   --   --   --   --   --   --  0.12 0.10 0.10 0.09 0.14 0.15  --   --   --   --  0.11  --   --  0.16
 09/13 0.12 0.12 0.10 0.10  --  0.11  --   --   --   --   --   --   --   --  0.10 0.08 0.08 0.08 0.11 0.12  --   --   --   --  0.09  --   --  0.13
 09/14 0.14 0.14 0.12 0.11  --  0.12  --   --   --   --   --   --   --   --  0.11 0.09 0.09 0.09 0.13 0.14  --   --   --   --  0.10  --   --  0.15
 09/15 0.03 0.03 0.03 0.02  --  0.03  --   --   --   --   --   --   --   --  0.00 0.02 0.02 0.02 0.03 0.03  --   --   --   --  0.00  --   --  0.03
 09/16 0.13 0.13 0.11 0.10  --  0.11  --   --   --   --   --   --   --   --   --  0.08 0.08 0.08 0.12 0.13  --   --   --   --   --   --   --  0.14
 09/17 0.09 0.09 0.08 0.07  --  0.08  --   --   --   --   --   --   --   --   --  0.06 0.06 0.06 0.08 0.09  --   --   --   --   --   --   --  0.09
 09/18 0.06 0.06 0.05 0.05  --  0.05  --   --   --   --   --   --   --   --   --  0.04 0.04 0.04 0.06 0.06  --   --   --   --   --   --   --  0.06
 09/19 0.10 0.10 0.09 0.08  --  0.09  --   --   --   --   --   --   --   --   --  0.07 0.06 0.06 0.09 0.10  --   --   --   --   --   --   --  0.10
 09/20 0.08 0.08 0.07 0.06  --  0.07  --   --   --   --   --   --   --   --   --  0.00 0.05 0.05 0.08 0.08  --   --   --   --   --   --   --  0.08
 09/21 0.11 0.11 0.09 0.09  --  0.10  --   --   --   --   --   --   --   --   --   --  0.06 0.07 0.10 0.11  --   --   --   --   --   --   --  0.11
 09/22 0.04 0.04 0.03 0.03  --  0.03  --   --   --   --   --   --   --   --   --   --  0.02 0.03 0.04 0.04  --   --   --   --   --   --   --  0.04
 09/23 0.10 0.10 0.09 0.08  --  0.09  --   --   --   --   --   --   --   --   --   --  0.06 0.07 0.10 0.10  --   --   --   --   --   --   --  0.10
 09/24 0.12 0.12 0.10 0.10  --  0.10  --   --   --   --   --   --   --   --   --   --  0.07 0.08 0.11 0.12  --   --   --   --   --   --   --  0.12
 09/25 0.19 0.19 0.16 0.15  --  0.16  --   --   --   --   --   --   --   --   --   --  0.10 0.13 0.18 0.19  --   --   --   --   --   --   --  0.19
 09/26 0.10 0.10 0.09 0.08  --  0.09  --   --   --   --   --   --   --   --   --   --  0.05 0.07 0.10 0.10  --   --   --   --   --   --   --  0.10
 09/27 0.10 0.10 0.09 0.08  --  0.09  --   --   --   --   --   --   --   --   --   --  0.05 0.07 0.10 0.10  --   --   --   --   --   --   --  0.10
 09/28 0.07 0.07 0.06 0.06  --  0.06  --   --   --   --   --   --   --   --   --   --  0.03 0.05 0.07 0.07  --   --   --   --   --   --   --  0.07
 09/29 0.09 0.09 0.08 0.07  --  0.08  --   --   --   --   --   --   --   --   --   --  0.04 0.06 0.09 0.09  --   --   --   --   --   --   --  0.09
 09/30 0.13 0.13 0.11 0.10  --  0.00  --   --   --   --   --   --   --   --   --   --  0.06 0.09 0.13 0.13  --   --   --   --   --   --   --  0.13
 10/01 0.14 0.14 0.12 0.11  --   --   --   --   --   --   --   --   --   --   --   --  0.06 0.09 0.14 0.14  --   --   --   --   --   --   --  0.14
 10/02 0.06 0.06 0.05 0.05  --   --   --   --   --   --   --   --   --   --   --   --  0.03 0.04 0.06 0.06  --   --   --   --   --   --   --  0.06
 10/03 0.05 0.05 0.04 0.04  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.03 0.05 0.05  --   --   --   --   --   --   --  0.05
 10/04 0.06 0.06 0.05 0.05  --   --   --   --   --   --   --   --   --   --   --   --  0.02 0.04 0.06 0.06  --   --   --   --   --   --   --  0.06
 10/05 0.08 0.08 0.07 0.06  --   --   --   --   --   --   --   --   --   --   --   --  0.00 0.05 0.08 0.08  --   --   --   --   --   --   --  0.08
 10/06 0.12 0.12 0.10 0.10  --   --   --   --   --   --   --   --   --   --   --   --   --  0.08 0.12 0.12  --   --   --   --   --   --   --  0.12
 10/07 0.08 0.08 0.07 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --  0.05 0.08 0.08  --   --   --   --   --   --   --  0.08
 10/08 0.07 0.07 0.06 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --  0.05 0.07 0.07  --   --   --   --   --   --   --  0.07
 10/09 0.09 0.09 0.08 0.07  --   --   --   --   --   --   --   --   --   --   --   --   --  0.06 0.09 0.09  --   --   --   --   --   --   --  0.09
 10/10 0.21 0.21 0.18 0.17  --   --   --   --   --   --   --   --   --   --   --   --   --  0.14 0.21 0.21  --   --   --   --   --   --   --  0.20
 10/11 0.16 0.16 0.14 0.13  --   --   --   --   --   --   --   --   --   --   --   --   --  0.11 0.16 0.16  --   --   --   --   --   --   --  0.15
 10/12 0.05 0.05 0.04 0.04  --   --   --   --   --   --   --   --   --   --   --   --   --  0.03 0.05 0.05  --   --   --   --   --   --   --  0.05
 10/13 0.06 0.06 0.05 0.05  --   --   --   --   --   --   --   --   --   --   --   --   --  0.04 0.06 0.06  --   --   --   --   --   --   --  0.06
 10/14 0.09 0.09 0.08 0.07  --   --   --   --   --   --   --   --   --   --   --   --   --  0.06 0.09 0.09  --   --   --   --   --   --   --  0.09
 10/15 0.05 0.05 0.04 0.04  --   --   --   --   --   --   --   --   --   --   --   --   --  0.00 0.00 0.00  --   --   --   --   --   --   --  0.00
 10/16 0.02 0.02 0.02 0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/17 0.05 0.05 0.04 0.04  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/18 0.04 0.04 0.03 0.03  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/19 0.08 0.08 0.07 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/20 0.03 0.03 0.03 0.02  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/21 0.05 0.05 0.04 0.04  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/22 0.07 0.07 0.06 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/23 0.06 0.06 0.05 0.05  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/24 0.08 0.08 0.07 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/25 0.06 0.06 0.05 0.05  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/26 0.07 0.07 0.06 0.06  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/27 0.14 0.14 0.12 0.11  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/28 0.06 0.06 0.05 0.05  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
 10/29 0.20 0.20 0.17 0.16  --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   --   -- 
