                         CRVO - ET SUMMARY - 2016 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 04/03 0.15 0.15 0.13 0.12 0.14 0.11 0.15 0.13 0.06 0.05  --   --  0.05  --   --  0.03 0.07 0.03 0.03 0.03 0.13 0.06 0.04  --  0.04  --   --  0.07
 04/04 0.10 0.10 0.09 0.08 0.10 0.08 0.10 0.09 0.04 0.03  --   --  0.03  --   --  0.02 0.05 0.02 0.02 0.02 0.09 0.04 0.03  --  0.03  --   --  0.05
 04/05 0.11 0.11 0.09 0.09 0.11 0.09 0.11 0.10 0.05 0.04 0.03  --  0.03  --   --  0.02 0.05 0.02 0.02 0.03 0.10 0.05 0.03  --  0.03  --   --  0.05
 04/06 0.19 0.19 0.16 0.15 0.18 0.17 0.19 0.17 0.09 0.07 0.06  --  0.06  --   --  0.04 0.10 0.04 0.04 0.05 0.17 0.08 0.06  --  0.06  --   --  0.10
 04/07 0.20 0.20 0.17 0.16 0.19 0.18 0.20 0.18 0.10 0.07 0.06  --  0.06  --   --  0.04 0.11 0.04 0.05 0.06 0.19 0.09 0.07  --  0.06  --   --  0.11
 04/08 0.15 0.15 0.13 0.12 0.14 0.14 0.15 0.14 0.08 0.06 0.05  --  0.05  --   --  0.03 0.08 0.03 0.04 0.05 0.14 0.07 0.05  --  0.04  --   --  0.08
 04/09 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.10 0.06 0.04 0.03  --  0.03  --   --  0.03 0.06 0.02 0.03 0.04 0.10 0.05 0.04  --  0.03  --   --  0.06
 04/10 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.08 0.05 0.03 0.03  --  0.03 0.03  --  0.02 0.05 0.02 0.03 0.03 0.09 0.05 0.03  --  0.03  --   --  0.05
 04/11 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.10 0.06 0.04 0.03  --  0.03 0.03  --  0.03 0.07 0.03 0.03 0.04 0.10 0.06 0.04  --  0.03  --   --  0.07
 04/12 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.10 0.07 0.04 0.03  --  0.04 0.03  --  0.03 0.07 0.03 0.04 0.05 0.10 0.06 0.04  --  0.04  --   --  0.07
